location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds_per_1000,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
NE,2020-01-21,ChIJXa-hxnrsmRER1CSOFQqSM8k,Q1032,country/NER,NE,Niger,NE,NER,0,0,0,,1,55,,,,,,,,24206636,12170165,12036471,19460484,3850231,1251511,1251511,19.11,0.354,8758026,5901125,3717357,2259015,1528694,1046850,644749,295959,54861,12928145120,554,0.316,192786,17.0,10.0,1267000,62.024,7.7,2.4,48.0,251.729,222.743,251.8,20.0,0.3,0.2695,0.0433,29.26165,13.995413,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.611111,18.5,28.0,0.0,-3.055556,16.778954
NE,2020-01-22,ChIJXa-hxnrsmRER1CSOFQqSM8k,Q1032,country/NER,NE,Niger,NE,NER,0,0,0,,1,55,,,,,,,,24206636,12170165,12036471,19460484,3850231,1251511,1251511,19.11,0.354,8758026,5901125,3717357,2259015,1528694,1046850,644749,295959,54861,12928145120,554,0.316,192786,17.0,10.0,1267000,62.024,7.7,2.4,48.0,251.729,222.743,251.8,20.0,0.3,0.2695,0.0433,29.26165,13.995413,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.555556,19.0,29.111111,0.0,-6.444444,12.277414
NE,2020-01-23,ChIJXa-hxnrsmRER1CSOFQqSM8k,Q1032,country/NER,NE,Niger,NE,NER,0,0,0,,1,55,,,,,,,,24206636,12170165,12036471,19460484,3850231,1251511,1251511,19.11,0.354,8758026,5901125,3717357,2259015,1528694,1046850,644749,295959,54861,12928145120,554,0.316,192786,17.0,10.0,1267000,62.024,7.7,2.4,48.0,251.729,222.743,251.8,20.0,0.3,0.2695,0.0433,29.26165,13.995413,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.833333,14.5,28.222222,0.0,-3.944444,16.457159
NE,2020-01-24,ChIJXa-hxnrsmRER1CSOFQqSM8k,Q1032,country/NER,NE,Niger,NE,NER,0,0,0,,1,55,,,,,,,,24206636,12170165,12036471,19460484,3850231,1251511,1251511,19.11,0.354,8758026,5901125,3717357,2259015,1528694,1046850,644749,295959,54861,12928145120,554,0.316,192786,17.0,10.0,1267000,62.024,7.7,2.4,48.0,251.729,222.743,251.8,20.0,0.3,0.2695,0.0433,29.26165,13.995413,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.555556,14.111111,28.888889,0.0,-5.777778,13.717581
NE,2020-01-25,ChIJXa-hxnrsmRER1CSOFQqSM8k,Q1032,country/NER,NE,Niger,NE,NER,0,0,0,,1,55,,,,,,,,24206636,12170165,12036471,19460484,3850231,1251511,1251511,19.11,0.354,8758026,5901125,3717357,2259015,1528694,1046850,644749,295959,54861,12928145120,554,0.316,192786,17.0,10.0,1267000,62.024,7.7,2.4,48.0,251.729,222.743,251.8,20.0,0.3,0.2695,0.0433,29.26165,13.995413,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.555556,15.0,28.611111,0.0,-7.611111,11.918436
NE,2020-01-26,ChIJXa-hxnrsmRER1CSOFQqSM8k,Q1032,country/NER,NE,Niger,NE,NER,0,0,0,,1,55,,,,,,,,24206636,12170165,12036471,19460484,3850231,1251511,1251511,19.11,0.354,8758026,5901125,3717357,2259015,1528694,1046850,644749,295959,54861,12928145120,554,0.316,192786,17.0,10.0,1267000,62.024,7.7,2.4,48.0,251.729,222.743,251.8,20.0,0.3,0.2695,0.0433,29.26165,13.995413,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.277778,14.0,28.5,0.0,-7.222222,12.489031
NE,2020-01-27,ChIJXa-hxnrsmRER1CSOFQqSM8k,Q1032,country/NER,NE,Niger,NE,NER,0,0,0,,1,55,,,,,,,,24206636,12170165,12036471,19460484,3850231,1251511,1251511,19.11,0.354,8758026,5901125,3717357,2259015,1528694,1046850,644749,295959,54861,12928145120,554,0.316,192786,17.0,10.0,1267000,62.024,7.7,2.4,48.0,251.729,222.743,251.8,20.0,0.3,0.2695,0.0433,29.26165,13.995413,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.055556,10.0,29.0,0.0,-9.611111,10.510624
NE,2020-01-28,ChIJXa-hxnrsmRER1CSOFQqSM8k,Q1032,country/NER,NE,Niger,NE,NER,0,0,0,,1,55,,,,,,,,24206636,12170165,12036471,19460484,3850231,1251511,1251511,19.11,0.354,8758026,5901125,3717357,2259015,1528694,1046850,644749,295959,54861,12928145120,554,0.316,192786,17.0,10.0,1267000,62.024,7.7,2.4,48.0,251.729,222.743,251.8,20.0,0.3,0.2695,0.0433,29.26165,13.995413,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.222222,12.888889,32.777778,0.0,-8.666667,9.365322
NE,2020-01-29,ChIJXa-hxnrsmRER1CSOFQqSM8k,Q1032,country/NER,NE,Niger,NE,NER,0,0,0,,1,55,,,,,,,,24206636,12170165,12036471,19460484,3850231,1251511,1251511,19.11,0.354,8758026,5901125,3717357,2259015,1528694,1046850,644749,295959,54861,12928145120,554,0.316,192786,17.0,10.0,1267000,62.024,7.7,2.4,48.0,251.729,222.743,251.8,20.0,0.3,0.2695,0.0433,29.26165,13.995413,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.833333,14.0,30.5,0.0,-9.666667,9.404443
NE,2020-01-30,ChIJXa-hxnrsmRER1CSOFQqSM8k,Q1032,country/NER,NE,Niger,NE,NER,0,0,0,,1,55,,,,,,,,24206636,12170165,12036471,19460484,3850231,1251511,1251511,19.11,0.354,8758026,5901125,3717357,2259015,1528694,1046850,644749,295959,54861,12928145120,554,0.316,192786,17.0,10.0,1267000,62.024,7.7,2.4,48.0,251.729,222.743,251.8,20.0,0.3,0.2695,0.0433,29.26165,13.995413,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.222222,14.0,31.111111,0.0,-8.888889,9.76662
