location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,infant_mortality_rate,nurses_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
MH,2020-01-24,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.111111,27.0,29.555556,0.0,23.944444,78.186184
MH,2020-01-25,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,27.944444,25.25,29.555556,0.381,24.916667,83.650713
MH,2020-01-26,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,27.722222,25.777778,29.0,7.874,26.277778,91.864957
MH,2020-01-27,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.111111,26.5,29.888889,23.876,24.166667,79.199282
MH,2020-01-28,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.777778,27.611111,30.611111,0.0,23.722222,74.181336
MH,2020-01-29,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.777778,26.5,30.722222,0.0,25.055556,80.348467
MH,2020-01-30,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,29.111111,27.888889,30.722222,1.524,26.111111,83.909004
MH,2020-01-31,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.333333,26.888889,30.777778,2.794,26.944444,92.200713
MH,2020-02-01,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.777778,27.611111,30.777778,3.556,25.611111,83.047625
MH,2020-02-02,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.75,26.861111,31.222222,0.0,24.361111,77.225984
