location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
GQ,2020-01-21,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,28.333333,24.4,31.5,0.0,24.333333,79.247208
GQ,2020-01-22,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,29.366667,25.8,33.244444,0.0,24.744444,76.433366
GQ,2020-01-23,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,29.144444,25.4,32.144444,0.0,24.277778,75.4694
GQ,2020-01-24,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,29.055556,24.555556,32.305556,0.0,24.472222,76.89925
GQ,2020-01-25,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,27.8,23.0,31.688889,0.0,23.066667,76.033699
GQ,2020-01-26,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,27.466667,23.2,30.977778,0.0,22.988889,77.025666
GQ,2020-01-27,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,28.211111,24.4,31.755556,0.0,24.066667,78.602366
GQ,2020-01-28,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,28.930556,25.0,32.069444,0.0,24.902778,79.092662
GQ,2020-01-29,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,29.111111,25.0,32.25,0.0,24.819444,78.036258
GQ,2020-01-30,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,28.763889,26.25,31.375,0.0,25.152778,81.297251
