location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,population,openstreetmap_id,latitude,longitude,area_sq_km
TF,2020-03-16,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-17,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-18,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-19,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-20,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-21,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-22,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-23,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-24,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-25,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-26,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-27,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-28,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-29,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-30,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-31,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-01,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-02,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-03,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-04,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-05,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-06,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-07,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-08,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-09,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-10,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-11,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-12,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-13,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-14,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-15,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-16,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-17,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-18,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-19,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-20,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-21,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-22,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-23,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-24,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-25,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-26,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-27,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-28,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-29,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-04-30,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-05-01,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-05-02,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-05-03,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-05-04,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-05-05,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-05-06,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-05-07,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-05-08,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-05-09,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-05-10,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-05-11,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-05-12,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-05-13,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-05-14,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
