location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
UG,2020-01-26,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78,21.888889,18.0,26.0,,17.777778,77.502594
UG,2020-01-27,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78,22.666667,21.0,26.0,,18.888889,79.253512
UG,2020-01-28,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78,21.277778,18.666667,23.833333,16.51,18.981481,87.411703
UG,2020-01-29,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,13.89,21.194444,16.75,23.75,21.082,18.305556,83.696142
UG,2020-01-30,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,13.89,23.513889,18.652778,27.833333,0.3175,18.402778,73.136949
UG,2020-01-31,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,13.89,21.444444,19.666667,24.074074,0.254,19.0,86.069898
UG,2020-02-01,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,13.89,20.833333,19.0,23.0,,18.5,86.517181
UG,2020-02-02,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,13.89,21.833333,19.0,25.0,0.0,18.833333,83.088221
UG,2020-02-03,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,13.89,22.208333,18.125,26.5,2.116667,18.805556,81.211111
UG,2020-02-04,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,13.89,22.444444,20.0,26.0,0.0,19.722222,84.60655
