location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
NA,2020-01-30,ChIJIXXTbn489RsRYbLsqKXludM,Q1030,country/NAM,NA,Namibia,NA,NAM,0,0,0,,2,1,,,,,,,,2540916,1231683,1309233,1221272,1273258,417380,3.086,0.647,654526,526434,472709,356847,237557,150334,87461,41131,13917,12366527719,4957,0.435,195266,-23.0,17.0,824290,822303,2467,63.373,21.4,4.5,29.0,349.317,248.938,145.0,21.3,1.954,0.4182,447.28064,34.593563,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.074074,18.898148,33.694444,0.0,10.435185,42.431906
NA,2020-01-31,ChIJIXXTbn489RsRYbLsqKXludM,Q1030,country/NAM,NA,Namibia,NA,NAM,0,0,0,,2,1,,,,,,,,2540916,1231683,1309233,1221272,1273258,417380,3.086,0.647,654526,526434,472709,356847,237557,150334,87461,41131,13917,12366527719,4957,0.435,195266,-23.0,17.0,824290,822303,2467,63.373,21.4,4.5,29.0,349.317,248.938,145.0,21.3,1.954,0.4182,447.28064,34.593563,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.398148,18.712963,33.462963,0.084667,8.37963,33.666985
NA,2020-02-01,ChIJIXXTbn489RsRYbLsqKXludM,Q1030,country/NAM,NA,Namibia,NA,NAM,0,0,0,,2,1,,,,,,,,2540916,1231683,1309233,1221272,1273258,417380,3.086,0.647,654526,526434,472709,356847,237557,150334,87461,41131,13917,12366527719,4957,0.435,195266,-23.0,17.0,824290,822303,2467,63.373,21.4,4.5,29.0,349.317,248.938,145.0,21.3,1.954,0.4182,447.28064,34.593563,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.555556,17.712963,33.296296,0.0,10.462963,47.700368
NA,2020-02-02,ChIJIXXTbn489RsRYbLsqKXludM,Q1030,country/NAM,NA,Namibia,NA,NAM,0,0,0,,2,1,,,,,,,,2540916,1231683,1309233,1221272,1273258,417380,3.086,0.647,654526,526434,472709,356847,237557,150334,87461,41131,13917,12366527719,4957,0.435,195266,-23.0,17.0,824290,822303,2467,63.373,21.4,4.5,29.0,349.317,248.938,145.0,21.3,1.954,0.4182,447.28064,34.593563,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.319444,19.472222,31.472222,0.0,8.958333,39.860085
NA,2020-02-03,ChIJIXXTbn489RsRYbLsqKXludM,Q1030,country/NAM,NA,Namibia,NA,NAM,0,0,0,,2,1,,,,,,,,2540916,1231683,1309233,1221272,1273258,417380,3.086,0.647,654526,526434,472709,356847,237557,150334,87461,41131,13917,12366527719,4957,0.435,195266,-23.0,17.0,824290,822303,2467,63.373,21.4,4.5,29.0,349.317,248.938,145.0,21.3,1.954,0.4182,447.28064,34.593563,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.962963,19.444444,33.916667,0.084667,8.175926,34.327962
NA,2020-02-04,ChIJIXXTbn489RsRYbLsqKXludM,Q1030,country/NAM,NA,Namibia,NA,NAM,0,0,0,,2,1,,,,,,,,2540916,1231683,1309233,1221272,1273258,417380,3.086,0.647,654526,526434,472709,356847,237557,150334,87461,41131,13917,12366527719,4957,0.435,195266,-23.0,17.0,824290,822303,2467,63.373,21.4,4.5,29.0,349.317,248.938,145.0,21.3,1.954,0.4182,447.28064,34.593563,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.62037,18.444444,32.925926,1.27,12.231481,50.384611
NA,2020-02-05,ChIJIXXTbn489RsRYbLsqKXludM,Q1030,country/NAM,NA,Namibia,NA,NAM,0,0,0,,2,1,,,,,,,,2540916,1231683,1309233,1221272,1273258,417380,3.086,0.647,654526,526434,472709,356847,237557,150334,87461,41131,13917,12366527719,4957,0.435,195266,-23.0,17.0,824290,822303,2467,63.373,21.4,4.5,29.0,349.317,248.938,145.0,21.3,1.954,0.4182,447.28064,34.593563,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.185185,17.398148,30.416667,1.058333,13.574074,55.425013
NA,2020-02-06,ChIJIXXTbn489RsRYbLsqKXludM,Q1030,country/NAM,NA,Namibia,NA,NAM,0,0,0,,2,1,,,,,,,,2540916,1231683,1309233,1221272,1273258,417380,3.086,0.647,654526,526434,472709,356847,237557,150334,87461,41131,13917,12366527719,4957,0.435,195266,-23.0,17.0,824290,822303,2467,63.373,21.4,4.5,29.0,349.317,248.938,145.0,21.3,1.954,0.4182,447.28064,34.593563,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.777778,17.0,29.097222,0.0635,12.958333,55.401794
NA,2020-02-07,ChIJIXXTbn489RsRYbLsqKXludM,Q1030,country/NAM,NA,Namibia,NA,NAM,0,0,0,,2,1,,,,,,,,2540916,1231683,1309233,1221272,1273258,417380,3.086,0.647,654526,526434,472709,356847,237557,150334,87461,41131,13917,12366527719,4957,0.435,195266,-23.0,17.0,824290,822303,2467,63.373,21.4,4.5,29.0,349.317,248.938,145.0,21.3,1.954,0.4182,447.28064,34.593563,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.796296,18.055556,32.148148,0.3175,12.592593,48.258356
NA,2020-02-08,ChIJIXXTbn489RsRYbLsqKXludM,Q1030,country/NAM,NA,Namibia,NA,NAM,0,0,0,,2,1,,,,,,,,2540916,1231683,1309233,1221272,1273258,417380,3.086,0.647,654526,526434,472709,356847,237557,150334,87461,41131,13917,12366527719,4957,0.435,195266,-23.0,17.0,824290,822303,2467,63.373,21.4,4.5,29.0,349.317,248.938,145.0,21.3,1.954,0.4182,447.28064,34.593563,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.444444,16.935185,32.62963,0.0,5.222222,32.708416
