location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,adult_male_mortality_rate,adult_female_mortality_rate,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
PF,2020-02-09,ChIJTddtfNB1GHQREVfDCXp6wJs,Q30971,country/PYF,PF,French Polynesia,PF,PYF,0,0,0,0,0,,,,,,,280904,142261,138643,106417,172870,76.75,39634,44134,40380,43367,39588,35649,23042,10823,4287,3412620,-17.533333,-149.566667,4000,3787,238,77.462,19.5,112.857,66.154,28.777778,25.916667,31.75,0.0,24.0,75.666325
PF,2020-02-10,ChIJTddtfNB1GHQREVfDCXp6wJs,Q30971,country/PYF,PF,French Polynesia,PF,PYF,0,0,0,0,0,,,,,,,280904,142261,138643,106417,172870,76.75,39634,44134,40380,43367,39588,35649,23042,10823,4287,3412620,-17.533333,-149.566667,4000,3787,238,77.462,19.5,112.857,66.154,28.055556,25.444444,31.555556,2.921,24.055556,79.068356
PF,2020-02-11,ChIJTddtfNB1GHQREVfDCXp6wJs,Q30971,country/PYF,PF,French Polynesia,PF,PYF,0,0,0,0,0,,,,,,,280904,142261,138643,106417,172870,76.75,39634,44134,40380,43367,39588,35649,23042,10823,4287,3412620,-17.533333,-149.566667,4000,3787,238,77.462,19.5,112.857,66.154,28.583333,25.555556,31.361111,2.032,24.0,76.344209
PF,2020-02-12,ChIJTddtfNB1GHQREVfDCXp6wJs,Q30971,country/PYF,PF,French Polynesia,PF,PYF,0,0,0,0,0,,,,,,,280904,142261,138643,106417,172870,76.75,39634,44134,40380,43367,39588,35649,23042,10823,4287,3412620,-17.533333,-149.566667,4000,3787,238,77.462,19.5,112.857,66.154,28.638889,26.0,31.444444,0.127,23.777778,75.109536
PF,2020-02-13,ChIJTddtfNB1GHQREVfDCXp6wJs,Q30971,country/PYF,PF,French Polynesia,PF,PYF,0,0,0,0,0,,,,,,,280904,142261,138643,106417,172870,76.75,39634,44134,40380,43367,39588,35649,23042,10823,4287,3412620,-17.533333,-149.566667,4000,3787,238,77.462,19.5,112.857,66.154,28.777778,26.361111,31.805556,0.0,23.833333,74.755457
PF,2020-02-14,ChIJTddtfNB1GHQREVfDCXp6wJs,Q30971,country/PYF,PF,French Polynesia,PF,PYF,0,0,0,0,0,,,,,,,280904,142261,138643,106417,172870,76.75,39634,44134,40380,43367,39588,35649,23042,10823,4287,3412620,-17.533333,-149.566667,4000,3787,238,77.462,19.5,112.857,66.154,28.333333,25.361111,31.472222,0.0,23.333333,74.373456
PF,2020-02-15,ChIJTddtfNB1GHQREVfDCXp6wJs,Q30971,country/PYF,PF,French Polynesia,PF,PYF,0,0,0,0,0,,,,,,,280904,142261,138643,106417,172870,76.75,39634,44134,40380,43367,39588,35649,23042,10823,4287,3412620,-17.533333,-149.566667,4000,3787,238,77.462,19.5,112.857,66.154,28.055556,26.138889,31.055556,0.0,23.555556,76.639633
PF,2020-02-16,ChIJTddtfNB1GHQREVfDCXp6wJs,Q30971,country/PYF,PF,French Polynesia,PF,PYF,0,0,0,0,0,,,,,,,280904,142261,138643,106417,172870,76.75,39634,44134,40380,43367,39588,35649,23042,10823,4287,3412620,-17.533333,-149.566667,4000,3787,238,77.462,19.5,112.857,66.154,27.388889,24.75,31.194444,12.065,22.916667,76.69631
PF,2020-02-17,ChIJTddtfNB1GHQREVfDCXp6wJs,Q30971,country/PYF,PF,French Polynesia,PF,PYF,0,0,0,0,0,,,,,,,280904,142261,138643,106417,172870,76.75,39634,44134,40380,43367,39588,35649,23042,10823,4287,3412620,-17.533333,-149.566667,4000,3787,238,77.462,19.5,112.857,66.154,28.75,25.555556,31.694444,0.127,23.305556,72.485041
PF,2020-02-18,ChIJTddtfNB1GHQREVfDCXp6wJs,Q30971,country/PYF,PF,French Polynesia,PF,PYF,0,0,0,0,0,,,,,,,280904,142261,138643,106417,172870,76.75,39634,44134,40380,43367,39588,35649,23042,10823,4287,3412620,-17.533333,-149.566667,4000,3787,238,77.462,19.5,112.857,66.154,28.833333,26.305556,31.805556,0.0,23.25,71.88268
PF,2020-02-19,ChIJTddtfNB1GHQREVfDCXp6wJs,Q30971,country/PYF,PF,French Polynesia,PF,PYF,0,0,0,0,0,,,,,,,280904,142261,138643,106417,172870,76.75,39634,44134,40380,43367,39588,35649,23042,10823,4287,3412620,-17.533333,-149.566667,4000,3787,238,77.462,19.5,112.857,66.154,28.361111,24.055556,31.694444,0.254,23.583333,75.365601
PF,2020-02-20,ChIJTddtfNB1GHQREVfDCXp6wJs,Q30971,country/PYF,PF,French Polynesia,PF,PYF,0,0,0,0,0,,,,,,,280904,142261,138643,106417,172870,76.75,39634,44134,40380,43367,39588,35649,23042,10823,4287,3412620,-17.533333,-149.566667,4000,3787,238,77.462,19.5,112.857,66.154,28.111111,23.75,31.138889,30.607,23.388889,75.615511
