location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,population,population_male,population_female,population_rural,population_urban,population_density,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
MP,2020-02-19,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.319444,23.819444,29.152778,0.0,20.5,70.397636
MP,2020-02-20,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.611111,24.319444,29.0,1.0795,20.597222,69.683366
MP,2020-02-21,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,27.166667,24.847222,29.152778,0.127,21.680556,72.017619
MP,2020-02-22,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,27.152778,24.902778,29.5,0.0,21.708333,72.200023
MP,2020-02-23,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.111111,24.097222,28.402778,0.0,21.555556,76.068789
MP,2020-02-24,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.277778,23.347222,28.75,0.508,20.902778,72.48951
MP,2020-02-25,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.638889,24.097222,29.0,1.651,22.138889,76.374607
MP,2020-02-26,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,27.069444,24.75,29.652778,0.0,21.472222,71.542038
MP,2020-02-27,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.75,23.847222,29.152778,0.0,21.263889,71.964131
MP,2020-02-28,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.597222,24.222222,28.5,0.0,20.75,70.420063
