location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds_per_1000,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
JO,2020-01-23,ChIJmd5kZkdvABURmU4mUQdbKI0,Q810,country/JOR,JO,Jordan,JO,JOR,0,0,0,,0,0,,,,,,,,10203140,5165979,5037161,888646,9213048,2108509,2108509,114.926,0.735,2212563,2179853,1802536,1490608,1141345,755591,366278,190751,63615,43743661971,4330,0.562,184818,31.2,36.5,89320,86229,3383,74.405,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.433333,5.9,15.466667,0.1524,,3.875,71.701286
JO,2020-01-24,ChIJmd5kZkdvABURmU4mUQdbKI0,Q810,country/JOR,JO,Jordan,JO,JOR,0,0,0,,0,0,,,,,,,,10203140,5165979,5037161,888646,9213048,2108509,2108509,114.926,0.735,2212563,2179853,1802536,1490608,1141345,755591,366278,190751,63615,43743661971,4330,0.562,184818,31.2,36.5,89320,86229,3383,74.405,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.125,5.347222,10.833333,10.922,,2.916667,71.798546
JO,2020-01-25,ChIJmd5kZkdvABURmU4mUQdbKI0,Q810,country/JOR,JO,Jordan,JO,JOR,0,0,0,,0,0,,,,,,,,10203140,5165979,5037161,888646,9213048,2108509,2108509,114.926,0.735,2212563,2179853,1802536,1490608,1141345,755591,366278,190751,63615,43743661971,4330,0.562,184818,31.2,36.5,89320,86229,3383,74.405,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.333333,3.911111,13.911111,2.1844,,0.319444,62.324172
JO,2020-01-26,ChIJmd5kZkdvABURmU4mUQdbKI0,Q810,country/JOR,JO,Jordan,JO,JOR,0,0,0,,0,0,,,,,,,,10203140,5165979,5037161,888646,9213048,2108509,2108509,114.926,0.735,2212563,2179853,1802536,1490608,1141345,755591,366278,190751,63615,43743661971,4330,0.562,184818,31.2,36.5,89320,86229,3383,74.405,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.555556,2.588889,15.111111,0.0,,1.347222,63.956026
JO,2020-01-27,ChIJmd5kZkdvABURmU4mUQdbKI0,Q810,country/JOR,JO,Jordan,JO,JOR,0,0,0,,0,0,,,,,,,,10203140,5165979,5037161,888646,9213048,2108509,2108509,114.926,0.735,2212563,2179853,1802536,1490608,1141345,755591,366278,190751,63615,43743661971,4330,0.562,184818,31.2,36.5,89320,86229,3383,74.405,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.75,2.347222,15.875,0.0,,1.888889,62.662734
JO,2020-01-28,ChIJmd5kZkdvABURmU4mUQdbKI0,Q810,country/JOR,JO,Jordan,JO,JOR,0,0,0,,0,0,,,,,,,,10203140,5165979,5037161,888646,9213048,2108509,2108509,114.926,0.735,2212563,2179853,1802536,1490608,1141345,755591,366278,190751,63615,43743661971,4330,0.562,184818,31.2,36.5,89320,86229,3383,74.405,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.855556,5.877778,17.588889,0.2032,,2.597222,60.639747
JO,2020-01-29,ChIJmd5kZkdvABURmU4mUQdbKI0,Q810,country/JOR,JO,Jordan,JO,JOR,0,0,0,,0,0,,,,,,,,10203140,5165979,5037161,888646,9213048,2108509,2108509,114.926,0.735,2212563,2179853,1802536,1490608,1141345,755591,366278,190751,63615,43743661971,4330,0.562,184818,31.2,36.5,89320,86229,3383,74.405,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.844444,8.922222,17.644444,0.9652,,6.375,72.050998
JO,2020-01-30,ChIJmd5kZkdvABURmU4mUQdbKI0,Q810,country/JOR,JO,Jordan,JO,JOR,0,0,0,,0,0,,,,,,,,10203140,5165979,5037161,888646,9213048,2108509,2108509,114.926,0.735,2212563,2179853,1802536,1490608,1141345,755591,366278,190751,63615,43743661971,4330,0.562,184818,31.2,36.5,89320,86229,3383,74.405,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.166667,5.430556,17.541667,0.0,,4.513889,64.829431
JO,2020-01-31,ChIJmd5kZkdvABURmU4mUQdbKI0,Q810,country/JOR,JO,Jordan,JO,JOR,0,0,0,,0,0,,,,,,,,10203140,5165979,5037161,888646,9213048,2108509,2108509,114.926,0.735,2212563,2179853,1802536,1490608,1141345,755591,366278,190751,63615,43743661971,4330,0.562,184818,31.2,36.5,89320,86229,3383,74.405,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.944444,7.013889,16.194444,0.0,,3.347222,60.7753
JO,2020-02-01,ChIJmd5kZkdvABURmU4mUQdbKI0,Q810,country/JOR,JO,Jordan,JO,JOR,0,0,0,,0,0,,,,,,,,10203140,5165979,5037161,888646,9213048,2108509,2108509,114.926,0.735,2212563,2179853,1802536,1490608,1141345,755591,366278,190751,63615,43743661971,4330,0.562,184818,31.2,36.5,89320,86229,3383,74.405,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.666667,7.633333,15.866667,0.1016,,4.069444,65.886469
JO,2020-02-02,ChIJmd5kZkdvABURmU4mUQdbKI0,Q810,country/JOR,JO,Jordan,JO,JOR,0,0,0,,0,0,,,,,,,,10203140,5165979,5037161,888646,9213048,2108509,2108509,114.926,0.735,2212563,2179853,1802536,1490608,1141345,755591,366278,190751,63615,43743661971,4330,0.562,184818,31.2,36.5,89320,86229,3383,74.405,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.0,8.444444,16.652778,1.7145,,6.25,69.655591
JO,2020-02-03,ChIJmd5kZkdvABURmU4mUQdbKI0,Q810,country/JOR,JO,Jordan,JO,JOR,0,0,0,,0,0,,,,,,,,10203140,5165979,5037161,888646,9213048,2108509,2108509,114.926,0.735,2212563,2179853,1802536,1490608,1141345,755591,366278,190751,63615,43743661971,4330,0.562,184818,31.2,36.5,89320,86229,3383,74.405,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.236111,6.583333,19.541667,0.0,,4.763889,61.217338
JO,2020-02-04,ChIJmd5kZkdvABURmU4mUQdbKI0,Q810,country/JOR,JO,Jordan,JO,JOR,0,0,0,,0,0,,,,,,,,10203140,5165979,5037161,888646,9213048,2108509,2108509,114.926,0.735,2212563,2179853,1802536,1490608,1141345,755591,366278,190751,63615,43743661971,4330,0.562,184818,31.2,36.5,89320,86229,3383,74.405,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.277778,6.138889,17.930556,0.0,,6.208333,67.616166
JO,2020-02-05,ChIJmd5kZkdvABURmU4mUQdbKI0,Q810,country/JOR,JO,Jordan,JO,JOR,0,0,0,,0,0,,,,,,,,10203140,5165979,5037161,888646,9213048,2108509,2108509,114.926,0.735,2212563,2179853,1802536,1490608,1141345,755591,366278,190751,63615,43743661971,4330,0.562,184818,31.2,36.5,89320,86229,3383,74.405,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,13.4,7.333333,20.1,2.2352,,5.763889,62.553556
JO,2020-02-06,ChIJmd5kZkdvABURmU4mUQdbKI0,Q810,country/JOR,JO,Jordan,JO,JOR,0,0,0,,0,0,,,,,,,,10203140,5165979,5037161,888646,9213048,2108509,2108509,114.926,0.735,2212563,2179853,1802536,1490608,1141345,755591,366278,190751,63615,43743661971,4330,0.562,184818,31.2,36.5,89320,86229,3383,74.405,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,13.930556,6.805556,21.25,0.0,,4.208333,52.484989
