location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
LC,2020-01-21,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,26.125,22.291667,29.736111,1.342571,21.222222,74.748919
LC,2020-01-22,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,24.597222,22.090278,28.333333,13.23975,22.243056,86.916806
LC,2020-01-23,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,25.965278,22.5,28.902778,6.4135,22.145833,79.558498
LC,2020-01-24,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,26.291667,20.743056,29.909722,1.23825,22.534722,79.961933
LC,2020-01-25,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,26.1875,22.090278,29.895833,1.27,22.298611,79.38647
LC,2020-01-26,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,25.875,21.652778,29.631944,0.254,21.4375,76.602577
LC,2020-01-27,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,25.666667,21.041667,29.736111,0.03175,20.895833,75.054213
LC,2020-01-28,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,26.1875,21.236111,29.986111,0.0,21.5625,75.899157
LC,2020-01-29,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,25.75,23.009259,29.916667,0.60325,22.365079,78.812391
LC,2020-01-30,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,26.527778,22.368056,30.0,0.66675,22.152778,77.005988
LC,2020-01-31,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,27.0625,22.75,30.256944,0.036286,22.298611,75.324779
LC,2020-02-01,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,27.138889,23.048611,30.256944,0.254,21.993056,73.750089
