location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,diabetes_prevalence,infant_mortality_rate,nurses_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
TV,2020-02-03,ChIJTaCxWbmcwW8RLhIHB2hUZ48,Q672,country/TUV,TV,Tuvalu,TV,TUV,0,0,0,0,0,,,,,,,11792,6057,6178,4284,7362,393.067,2536,2087,2310,1858,971,1178,862,323,111,47271463,4059,0.554,2177266,-7.475,178.005556,30,38,0,22.1,20.6,4.2609,622.176697,3.248882,29.166667,26.0,32.5,7.112,25.666667,81.46689
TV,2020-02-04,ChIJTaCxWbmcwW8RLhIHB2hUZ48,Q672,country/TUV,TV,Tuvalu,TV,TUV,0,0,0,0,0,,,,,,,11792,6057,6178,4284,7362,393.067,2536,2087,2310,1858,971,1178,862,323,111,47271463,4059,0.554,2177266,-7.475,178.005556,30,38,0,22.1,20.6,4.2609,622.176697,3.248882,28.722222,26.0,32.0,17.272,25.5,82.76775
TV,2020-02-05,ChIJTaCxWbmcwW8RLhIHB2hUZ48,Q672,country/TUV,TV,Tuvalu,TV,TUV,0,0,0,0,0,,,,,,,11792,6057,6178,4284,7362,393.067,2536,2087,2310,1858,971,1178,862,323,111,47271463,4059,0.554,2177266,-7.475,178.005556,30,38,0,22.1,20.6,4.2609,622.176697,3.248882,28.888889,25.777778,31.0,30.988,25.444444,81.701882
TV,2020-02-06,ChIJTaCxWbmcwW8RLhIHB2hUZ48,Q672,country/TUV,TV,Tuvalu,TV,TUV,0,0,0,0,0,,,,,,,11792,6057,6178,4284,7362,393.067,2536,2087,2310,1858,971,1178,862,323,111,47271463,4059,0.554,2177266,-7.475,178.005556,30,38,0,22.1,20.6,4.2609,622.176697,3.248882,28.611111,25.0,31.277778,15.494,25.333333,82.481942
TV,2020-02-07,ChIJTaCxWbmcwW8RLhIHB2hUZ48,Q672,country/TUV,TV,Tuvalu,TV,TUV,0,0,0,0,0,,,,,,,11792,6057,6178,4284,7362,393.067,2536,2087,2310,1858,971,1178,862,323,111,47271463,4059,0.554,2177266,-7.475,178.005556,30,38,0,22.1,20.6,4.2609,622.176697,3.248882,28.444444,25.0,31.0,23.114,25.166667,82.462315
TV,2020-02-08,ChIJTaCxWbmcwW8RLhIHB2hUZ48,Q672,country/TUV,TV,Tuvalu,TV,TUV,0,0,0,0,0,,,,,,,11792,6057,6178,4284,7362,393.067,2536,2087,2310,1858,971,1178,862,323,111,47271463,4059,0.554,2177266,-7.475,178.005556,30,38,0,22.1,20.6,4.2609,622.176697,3.248882,28.222222,25.222222,32.0,23.622,25.277778,84.08944
TV,2020-02-09,ChIJTaCxWbmcwW8RLhIHB2hUZ48,Q672,country/TUV,TV,Tuvalu,TV,TUV,0,0,0,0,0,,,,,,,11792,6057,6178,4284,7362,393.067,2536,2087,2310,1858,971,1178,862,323,111,47271463,4059,0.554,2177266,-7.475,178.005556,30,38,0,22.1,20.6,4.2609,622.176697,3.248882,27.944444,26.0,32.0,7.112,25.555556,86.8844
TV,2020-02-10,ChIJTaCxWbmcwW8RLhIHB2hUZ48,Q672,country/TUV,TV,Tuvalu,TV,TUV,0,0,0,0,0,,,,,,,11792,6057,6178,4284,7362,393.067,2536,2087,2310,1858,971,1178,862,323,111,47271463,4059,0.554,2177266,-7.475,178.005556,30,38,0,22.1,20.6,4.2609,622.176697,3.248882,29.333333,26.222222,31.0,0.0,25.722222,80.952509
TV,2020-02-11,ChIJTaCxWbmcwW8RLhIHB2hUZ48,Q672,country/TUV,TV,Tuvalu,TV,TUV,0,0,0,0,0,,,,,,,11792,6057,6178,4284,7362,393.067,2536,2087,2310,1858,971,1178,862,323,111,47271463,4059,0.554,2177266,-7.475,178.005556,30,38,0,22.1,20.6,4.2609,622.176697,3.248882,28.777778,26.5,32.0,0.0,25.833333,84.149291
TV,2020-02-12,ChIJTaCxWbmcwW8RLhIHB2hUZ48,Q672,country/TUV,TV,Tuvalu,TV,TUV,0,0,0,0,0,,,,,,,11792,6057,6178,4284,7362,393.067,2536,2087,2310,1858,971,1178,862,323,111,47271463,4059,0.554,2177266,-7.475,178.005556,30,38,0,22.1,20.6,4.2609,622.176697,3.248882,28.0,25.0,31.0,24.638,25.166667,84.623699
TV,2020-02-13,ChIJTaCxWbmcwW8RLhIHB2hUZ48,Q672,country/TUV,TV,Tuvalu,TV,TUV,0,0,0,0,0,,,,,,,11792,6057,6178,4284,7362,393.067,2536,2087,2310,1858,971,1178,862,323,111,47271463,4059,0.554,2177266,-7.475,178.005556,30,38,0,22.1,20.6,4.2609,622.176697,3.248882,29.277778,25.111111,32.0,10.414,25.666667,80.945483
TV,2020-02-14,ChIJTaCxWbmcwW8RLhIHB2hUZ48,Q672,country/TUV,TV,Tuvalu,TV,TUV,0,0,0,0,0,,,,,,,11792,6057,6178,4284,7362,393.067,2536,2087,2310,1858,971,1178,862,323,111,47271463,4059,0.554,2177266,-7.475,178.005556,30,38,0,22.1,20.6,4.2609,622.176697,3.248882,29.055556,26.388889,32.222222,3.683,25.888889,83.147899
