location_key,date,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,population,population_male,population_female,population_rural,population_urban,population_density,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,adult_male_mortality_rate,adult_female_mortality_rate,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
VI,2020-01-23,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,26.433333,24.233333,28.066667,1.834444,22.111111,78.36482
VI,2020-01-24,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,24.65,22.905556,27.077778,6.124222,22.194444,86.487064
VI,2020-01-25,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,25.172222,22.794444,27.844444,1.100667,20.944444,78.590529
VI,2020-01-26,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,24.794444,22.677778,27.616667,1.241778,21.444444,84.691695
VI,2020-01-27,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,25.238889,22.727778,28.205556,1.044222,21.722222,78.991646
VI,2020-01-28,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,25.5,22.694444,28.338889,0.6096,22.486111,86.083335
VI,2020-01-29,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,25.8,22.9,29.083333,0.2032,21.5,79.420619
VI,2020-01-30,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,25.905556,22.544444,29.066667,0.0,21.708333,77.90485
VI,2020-01-31,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,26.388889,23.55,29.283333,0.0,22.194444,78.300329
VI,2020-02-01,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,1,2,,0,0,0,0.0,26.538889,24.244444,29.105556,0.0508,21.736111,74.705981
