location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds_per_1000,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
KR,2020-01-21,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,KR,KOR,0,0,0,,1,0,,,,,,,,51269183,25665854,25603329,9602379,42106719,9962393,25963874,527.298,0.903,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1856084,1642383217167,31761,0.845,307756,36.0,128.0,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.816667,-3.938889,6.511111,0.0,,-10.677778,42.463164
KR,2020-01-22,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,KR,KOR,0,1,0,,2,0,,,,,,,,51269183,25665854,25603329,9602379,42106719,9962393,25963874,527.298,0.903,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1856084,1642383217167,31761,0.845,307756,36.0,128.0,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,2.372222,-0.427778,3.883333,1.052286,,-2.544444,70.232119
KR,2020-01-23,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,KR,KOR,0,0,0,,2,0,,,,,,,,51269183,25665854,25603329,9602379,42106719,9962393,25963874,527.298,0.903,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1856084,1642383217167,31761,0.845,307756,36.0,128.0,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,3.9,-0.577778,9.022222,4.5466,,1.633333,85.911924
KR,2020-01-24,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,KR,KOR,0,1,0,,3,0,,,,,,,,51269183,25665854,25603329,9602379,42106719,9962393,25963874,527.298,0.903,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1856084,1642383217167,31761,0.845,307756,36.0,128.0,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,4.728395,-0.481481,10.549383,0.0,,-0.061728,71.444664
KR,2020-01-25,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,KR,KOR,0,1,0,,4,0,,,,,,,,51269183,25665854,25603329,9602379,42106719,9962393,25963874,527.298,0.903,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1856084,1642383217167,31761,0.845,307756,36.0,128.0,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,4.401235,-0.475309,9.290123,0.0,,1.265432,80.31867
KR,2020-01-26,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,KR,KOR,0,0,0,,4,0,,,,,,,,51269183,25665854,25603329,9602379,42106719,9962393,25963874,527.298,0.903,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1856084,1642383217167,31761,0.845,307756,36.0,128.0,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,7.179012,0.777778,10.709877,0.0508,,1.537037,67.678835
KR,2020-01-27,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,KR,KOR,0,0,0,,4,0,,,,,,,,51269183,25665854,25603329,9602379,42106719,9962393,25963874,527.298,0.903,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1856084,1642383217167,31761,0.845,307756,36.0,128.0,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,4.527778,3.011111,6.644444,7.112,,2.422222,86.410705
KR,2020-01-28,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,KR,KOR,0,3,0,,7,0,,,,,,,,51269183,25665854,25603329,9602379,42106719,9962393,25963874,527.298,0.903,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1856084,1642383217167,31761,0.845,307756,36.0,128.0,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17700000,0,0,0,0.0,6.4,2.522222,10.344444,3.2004,,2.005556,73.565916
KR,2020-01-29,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,KR,KOR,0,4,0,,11,0,,,,,,,,51269183,25665854,25603329,9602379,42106719,9962393,25963874,527.298,0.903,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1856084,1642383217167,31761,0.845,307756,36.0,128.0,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,5.2,1.816667,9.244444,0.310444,,0.877778,73.871612
KR,2020-01-30,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,KR,KOR,0,1,0,,12,0,,,,,,,,51269183,25665854,25603329,9602379,42106719,9962393,25963874,527.298,0.903,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1856084,1642383217167,31761,0.845,307756,36.0,128.0,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,4.672222,1.25,8.755556,0.0762,,-1.016667,66.78338
