location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
IQ,2020-01-11,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.428571,6.571429,17.285714,0.0,,4.190476,65.467806
IQ,2020-01-12,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.744444,3.933333,16.966667,0.0,,-0.233333,50.309762
IQ,2020-01-13,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.055556,5.761111,17.316667,1.072444,,3.75,57.22516
IQ,2020-01-14,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.438889,2.788889,15.461111,0.1016,,2.944444,64.277345
IQ,2020-01-15,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.766667,2.083333,15.266667,0.0,,2.138889,59.464971
IQ,2020-01-16,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.133333,4.672222,16.305556,0.4572,,3.522222,60.672397
IQ,2020-01-17,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14.635802,7.407407,19.796296,0.310444,,4.62963,51.617922
IQ,2020-01-18,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.6,6.461111,16.544444,0.0762,,6.283333,70.024146
IQ,2020-01-19,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.305556,5.844444,17.65,0.0254,,7.016667,70.298747
IQ,2020-01-20,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,13.416667,5.416667,19.655556,0.0254,,6.838889,64.587188
IQ,2020-01-21,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.979167,7.090278,15.756944,1.397,,7.673611,75.23852
IQ,2020-01-22,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.522222,7.638889,11.85,6.604,,7.822222,89.193789
IQ,2020-01-23,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.566667,5.855556,15.005556,0.6604,,6.277778,75.468261
IQ,2020-01-24,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.672222,5.827778,14.9,4.064,,5.522222,75.892877
IQ,2020-01-25,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.972222,5.438889,12.45,3.048,,5.394444,78.490153
IQ,2020-01-26,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.576389,3.798611,15.840278,0.0,,3.694444,66.848097
IQ,2020-01-27,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.277778,3.783333,16.233333,0.0,,5.427778,72.348822
IQ,2020-01-28,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.788889,3.527778,16.9,0.0,,6.166667,69.05894
IQ,2020-01-29,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,13.179012,7.950617,19.141975,0.0,,6.728395,65.07695
IQ,2020-01-30,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.288889,5.533333,18.261111,0.0,,7.511111,72.973472
IQ,2020-01-31,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14.5,6.438889,20.666667,0.4572,,5.505556,55.249832
IQ,2020-02-01,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.35,5.705556,15.827778,0.3556,,0.55,48.010751
IQ,2020-02-02,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.283951,4.623457,15.475309,0.0,,2.783951,59.880217
IQ,2020-02-03,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.733333,2.316667,15.688889,0.0,,2.516667,60.953285
IQ,2020-02-04,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.194444,4.294444,18.688889,0.0,,3.555556,55.772688
IQ,2020-02-05,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14.574074,5.203704,20.938272,0.0,,4.518519,51.330626
IQ,2020-02-06,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,16.080247,6.54321,23.148148,0.0,,5.709877,50.635215
IQ,2020-02-07,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17.294444,9.127778,24.216667,0.0,,7.283333,52.463805
IQ,2020-02-08,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,IQ,IRQ,0,0,0,,0,0,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92.61,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,188360,234094042938,5955,0.398,304934,33.0,43.0,435051,415377,12429,70.454,8.8,22.5,185.811,129.1,75.1,21.3,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15.855556,10.394444,20.666667,0.0,,3.694444,44.332073
