location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
GW,2020-01-22,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,GW,GNB,0,0,0,,2,1,,,,,,,,1967998,962695,1005303,1080000,840922,578829,69.986,0.455,582349,450029,342384,254506,156575,92188,60416,24637,4914,1340389410,697,192776,12.0,-15.0,36130,33629,306,58.003,2.4,54.0,373.99,301.21,214.7,20.0,0.6851,0.1274,52.359409,37.730824,,,,,27.277778,22.027778,33.0,0.0,16.194444,51.313167
GW,2020-01-23,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,GW,GNB,0,0,0,,2,1,,,,,,,,1967998,962695,1005303,1080000,840922,578829,69.986,0.455,582349,450029,342384,254506,156575,92188,60416,24637,4914,1340389410,697,192776,12.0,-15.0,36130,33629,306,58.003,2.4,54.0,373.99,301.21,214.7,20.0,0.6851,0.1274,52.359409,37.730824,,,,,25.888889,22.152778,30.694444,0.0,15.013889,51.353506
GW,2020-01-24,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,GW,GNB,0,0,0,,2,1,,,,,,,,1967998,962695,1005303,1080000,840922,578829,69.986,0.455,582349,450029,342384,254506,156575,92188,60416,24637,4914,1340389410,697,192776,12.0,-15.0,36130,33629,306,58.003,2.4,54.0,373.99,301.21,214.7,20.0,0.6851,0.1274,52.359409,37.730824,,,,,28.907407,22.333333,37.666667,0.0,15.240741,43.677654
GW,2020-01-25,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,GW,GNB,0,0,0,,2,1,,,,,,,,1967998,962695,1005303,1080000,840922,578829,69.986,0.455,582349,450029,342384,254506,156575,92188,60416,24637,4914,1340389410,697,192776,12.0,-15.0,36130,33629,306,58.003,2.4,54.0,373.99,301.21,214.7,20.0,0.6851,0.1274,52.359409,37.730824,,,,,28.277778,20.666667,37.0,0.0,15.574074,46.208129
GW,2020-01-26,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,GW,GNB,0,0,0,,2,1,,,,,,,,1967998,962695,1005303,1080000,840922,578829,69.986,0.455,582349,450029,342384,254506,156575,92188,60416,24637,4914,1340389410,697,192776,12.0,-15.0,36130,33629,306,58.003,2.4,54.0,373.99,301.21,214.7,20.0,0.6851,0.1274,52.359409,37.730824,,,,,27.944444,19.833333,37.0,0.0,11.074074,35.088813
GW,2020-01-27,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,GW,GNB,0,0,0,,2,1,,,,,,,,1967998,962695,1005303,1080000,840922,578829,69.986,0.455,582349,450029,342384,254506,156575,92188,60416,24637,4914,1340389410,697,192776,12.0,-15.0,36130,33629,306,58.003,2.4,54.0,373.99,301.21,214.7,20.0,0.6851,0.1274,52.359409,37.730824,,,,,28.444444,19.0,39.0,0.0,9.055556,29.769159
GW,2020-01-28,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,GW,GNB,0,0,0,,2,1,,,,,,,,1967998,962695,1005303,1080000,840922,578829,69.986,0.455,582349,450029,342384,254506,156575,92188,60416,24637,4914,1340389410,697,192776,12.0,-15.0,36130,33629,306,58.003,2.4,54.0,373.99,301.21,214.7,20.0,0.6851,0.1274,52.359409,37.730824,,,,,26.648148,17.240741,36.666667,0.0,16.555556,54.252152
GW,2020-01-29,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,GW,GNB,0,0,0,,2,1,,,,,,,,1967998,962695,1005303,1080000,840922,578829,69.986,0.455,582349,450029,342384,254506,156575,92188,60416,24637,4914,1340389410,697,192776,12.0,-15.0,36130,33629,306,58.003,2.4,54.0,373.99,301.21,214.7,20.0,0.6851,0.1274,52.359409,37.730824,,,,,28.077778,19.644444,35.944444,0.0,18.644444,57.305345
GW,2020-01-30,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,GW,GNB,0,0,0,,2,1,,,,,,,,1967998,962695,1005303,1080000,840922,578829,69.986,0.455,582349,450029,342384,254506,156575,92188,60416,24637,4914,1340389410,697,192776,12.0,-15.0,36130,33629,306,58.003,2.4,54.0,373.99,301.21,214.7,20.0,0.6851,0.1274,52.359409,37.730824,,,,,27.12963,19.203704,36.333333,0.0,12.944444,41.73914
GW,2020-01-31,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,GW,GNB,0,0,0,,2,1,,,,,,,,1967998,962695,1005303,1080000,840922,578829,69.986,0.455,582349,450029,342384,254506,156575,92188,60416,24637,4914,1340389410,697,192776,12.0,-15.0,36130,33629,306,58.003,2.4,54.0,373.99,301.21,214.7,20.0,0.6851,0.1274,52.359409,37.730824,,,,,27.685185,16.796296,39.666667,0.0,10.055556,33.620461
